UniqueID	P0.5 A	P0.5 B	P0.5 C	P1 d	P1 h	P1 i 	P1.5 c	P1.5 d	P1.5 g	P2.5 c	P2.5 g	P2.5 j	P4 a	P4 b	P4 f	P5 a	P5 b	P5 f	P7 a	P7 b	P7 c	P10 d	P10 e	P10 f	P13.5 a	P13.5 b	P13.5 c	P15 a	P15 b	P15 c	P19 c	P19 e	P19 f	P23 d	P23 e	P23 f 	P28c	P28d	P28e
Q07417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76	0.94	0.0	0.0	0.0	1.64	3.07	0.0	0.0	0.0	7.39	0.0	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P62627	2.32	3.74	5.01	2.01	1.2	3.44	0.0	2.64	3.76	0.0	2.19	3.14	0.0	2.3	7.54	1.89	3.09	1.64	0.0	2.48	1.98	0.89	0.0	0.0	3.9	3.62	3.7	3.08	2.71	0.0	1.83	0.94	0.0	1.72	0.0	1.87	2.34	2.42	2.17
Q91VD9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.99	0.0	0.0	0.82	3.84	0.0	0.0	2.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97	1.81	0.0	1.03	0.0	0.0	1.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P43274	9.29	12.45	0.0	10.04	0.0	12.62	7.89	6.15	6.58	12.9	5.49	8.37	5.75	6.14	5.03	9.45	12.36	6.57	11.41	5.79	15.81	11.51	7.63	2.73	6.82	11.75	11.09	10.26	5.42	40.03	6.39	4.68	5.56	8.62	6.01	8.41	9.35	20.53	22.81
Q91X52	0.0	0.0	3.76	0.0	1.2	0.0	2.96	0.0	0.0	0.0	0.0	0.0	1.64	0.0	1.68	0.94	2.06	2.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q07797	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.9	0.0	2.74	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0
Q8CGL5	3.48	4.98	3.76	9.04	12.03	9.18	2.96	5.27	7.52	6.95	3.29	4.19	4.11	1.53	7.54	7.56	2.06	2.46	8.55	7.44	1.98	8.85	2.54	5.45	0.97	0.0	2.77	2.05	3.61	0.0	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q61292	0.0	0.0	0.0	5.02	0.0	1.15	0.99	0.88	0.0	0.99	0.0	0.0	0.82	0.0	0.0	1.89	0.0	0.0	0.0	2.48	2.96	3.54	2.54	4.55	0.0	0.0	3.7	4.1	3.61	0.0	0.0	0.0	0.0	1.72	0.75	0.0	3.12	0.0	0.0
O55131	0.0	2.49	0.0	1.0	0.0	0.0	3.94	2.64	1.88	0.0	0.0	0.0	0.0	2.3	0.0	3.78	0.0	2.46	0.0	0.0	0.0	3.54	2.54	3.64	0.0	0.0	0.92	6.15	6.32	3.48	4.57	4.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P49722	1.16	0.0	0.0	0.0	2.41	1.15	0.0	0.0	0.0	0.0	0.0	0.0	0.82	0.77	0.0	0.0	0.0	3.29	0.0	3.31	1.98	0.0	0.85	0.91	1.95	0.9	0.0	0.0	2.71	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G3UXL2	2.32	1.25	3.76	0.0	4.81	3.44	1.97	0.0	0.0	0.0	3.29	1.05	1.64	3.07	2.51	1.89	4.12	3.29	0.0	2.48	1.98	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q61598	0.0	0.0	0.0	4.02	0.0	0.0	0.0	0.88	1.88	0.0	0.0	2.09	0.0	3.07	4.19	0.0	0.0	0.0	1.9	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Q64444	4.65	1.25	6.26	14.06	12.03	11.47	7.89	14.93	10.35	19.85	17.56	11.51	10.67	12.28	10.9	11.34	9.27	13.15	13.31	6.62	12.84	15.05	14.41	16.36	21.44	22.6	17.55	29.74	15.35	0.0	35.61	36.51	24.09	29.3	35.32	36.43	27.28	36.23	32.59
