Gene	E16.5-031	E16.5-032	E16.5-023	E16.5-024	E16.5-095	E16.5-096	E16.5-047	P0.5-a8	P0.5-a9	P0.5b-4.210	P0.54.311	P1-a12	P1-a13	P1b-6.314	p1b-6.215	P1.5-a16	P1.5-a17	P1.5-a18	P1.5-a19	P2-a20	P2-a21	p2-b22	P2b-5.123	P2b-6.124	P2.5-a25	P2.5-b26	p2.5b-427	P2.5b-528	P3-a29	P3-a30	P3-b31	P3b-5.732	P3b-533	P3.5-a34	P3.5-b35	P3.5b-5.936	P3.5b-5.437	P4-a38	P4-a39	P4b-6.340	P4b-7.341	P4.5-a42	P4.5-b43	P4.5b-6.344	P4.5b-5.545	P5-a46	P5-b47	P5b-2.748	P5b-2.849	P5.5-a50	P5.5-a51	p5.5b-7.952	P5.5b-9.153	P6-a54	P6b-7.255	P6b-8.756	P6c-6.557	P6.5-a58	P6.5-a59	P6.5b-6.360	p6.5b-4.461	P7-c62	P7-c63	P7-a64	P7b-7.765	P7b-8.366	P7.5b-8.767	P7.5b-968	P8-a69	P8-a70	P8b-6.371	P8b-72	P8.5-a73	P8.5-b74	P8.5b-9.175	P8.5b-9.376	P9-a77	P9-a78	P9b-10.379	P9b-1080	P9.5-a81	P9.5-a82	P9.5b-8.283	P9.5b-1084	P10-a85	P10-a86	P10b-6.787	P10b-6.688	P10.5-a89	P10.5c-10.590	P10.5b10.191	P10.5b-6.892	P11-a93	P11-a94	P11b-6.495	P11b-9.296	P11.5-a97	P11.5-a98	P11.5b-6.199	P11.5b-5.5100	P12-a101	P12-a102	P12b-6103	P12b-5.2104	P12.5-a105	P12.5-a106	P12.5b-11.3107	P12.5b-10.8108	P13-b109	P13-b110	P13c-6.1111	P13b-8112	P13.5-b113	P13.5b-6.5114	P13.5b-5115	P14-a116	P14-a117	P14b-5118	P14b-5119	P15-a120	P15-a121	P15c-11.8122	P15b-6.1123	P16-a124	P16-a125	P16c-11.2126	P16b-7127	P17-a128	P17-a129	P17b-9.7130	P17b-12131	P18-a132	P18-a133	P18b-8.6134	P18b-10.2135	P19-a136	P19-a137	p19c-8138	P19b-5.3139	P20-a140	P20c-9.2141	P20c-9.2142	P21-a143	P21b-7.1144	P21b-4145	P21c-10146	P22-a147	P22-a148	P22b-5.2149	p22b-6.1150	P23-a151	P23-a152	P23b-5153	P23b-3.5154	P24-a155	P24-a156	P24b-12.4157	P24c-8158	P25-a159	P25-a160	P25b-11161	P25b-11.1162	P26-a163	P26-a164	P26b-8.2165	P26b-7.6166	P27-a167	P27-a168	p27b-7.6169	P27b-8.1170	P28b-8.3171	P28c-8.4172	P28c-9.2173	p28b-7.3174
ipo8	172.4	174.87	215.32	182.09	193	241.88	217.25	55.2	55.95	266.98	210.67	51.55	94.87	229.99	138.92	84.07	73.37	84.07	73.37	62.56	73.69	68.67	206.85	162.49	66.13	51.44	234.25	196.25	70.09	74.54	52.57	184.94	205.01	45.54	61.66	178.26	227.14	72.78	85.25	192.3	236.9	92.96	83.48	220.25	227.26	47.67	90.92	152.17	212.14	60.63	82.24	316.11	273.86	59.74	202.61	171.49	211.01	52.96	32.48	215.03	221.43	75.71	67.12	61.69	168.2	180.03	233.28	170.28	90.77	69.73	233.36	213.79	57.64	74.3	347.54	224.35	68.42	79.07	286.19	235.61	74.46	45.48	192.41	1261.02	54.66	62.96	327.53	164.19	92.63	285.62	201.87	163.66	84.15	48.73	176.05	187.14	58.95	53.43	209.7	179.62	57.8	60.83	190.86	231.05	64.76	76.72	245.98	255.97	51.53	48.12	238.82	234.73	64.56	195.3	308.8	66.4	88.9	279.73	307.27	68.02	56.9	185.95	212.22	74.13	43.1	195.78	276.73	72.13	93.93	222.15	253.67	59.62	73.08	210.82	261.65	98.26	79.44	196.33	262.94	73.1	212.21	198.27	51.3	229.54	234.93	242.4	57.58	62.82	186.36	320.12	63.31	66.74	169.7	212.61	55.63	60.23	229.33	199.33	65.25	58.58	220.75	208.34	50.38	74.32	192.29	205.71	59.33	74.08	208.78	171.23	213.2	206.5	220.65	202.59
ITgam (CD11b)	5.33	4.49	6.34	5.53	4.78	5.77	5.03	17.56	35.6	16.69	24.79	8.85	29.65	15.33	9.92	15.16	15.56	15.16	15.56	23.01	21.05	17.17	27.58	25.66	13.23	15.05	47.44	15.29	6.37	41.41	17.52	30.82	16.62	34.15	10.4	19.21	14.2	16.84	16.74	13.9	18.22	6.64	13.71	18.55	17.87	42.38	18.81	8.01	16.97	25.09	21.93	26.34	16.11	25.36	22.1	32.39	27.45	15.89	20.3	16.13	14.13	28.39	20.97	28.28	6.73	36.01	36.83	42.57	7.89	15.1	37.84	41.26	13.56	17.77	49.65	21.27	12.98	23.72	10.22	21.93	18.62	22.74	15.6	630.51	21.86	40.07	21.84	18.24	57.9	22.91	50.47	163.66	37.4	32.49	6.52	20.15	18.61	8.91	31.23	21.77	15.55	13.26	31.01	27.26	13.88	19.18	29.03	24.62	20.61	19.25	22.75	27.46	7.3	32.97	44.11	24.35	29.63	26.26	21.53	11.34	11.38	26.42	37.54	39.91	8.62	27.67	25.16	17.81	11.05	14.55	24.35	16.26	17.75	25.84	25.65	21.83	28.37	17.22	23.2	20.54	24.06	8.26	18.94	45.09	43.01	42.78	17.37	8.44	32.41	12.31	28.14	25.03	47.52	31.37	22.57	21.45	23.59	11.98	21.91	22.78	48.43	64.66	18.32	19.72	27.31	12.44	31.75	41.56	29.94	26.08	8.05	34.17	36.93	16.14
ITGax (CD11c)	1.39	1.68	1	1.11	1	1.33	1.24	17.56	15.26	16.69	37.18	2.75	17.79	15.33	14.88	3.45	6.67	3.45	6.67	9.35	17.54	2.86	7.52	4.28	9.92	6.27	11.86	2.55	25.49	8.28	17.52	13.7	22.16	22.77	9.68	14.41	56.79	8.77	6.92	27.8	21.26	16.6	3.74	20.87	12.77	10.59	3.14	24.03	14.85	4.18	13.71	21.95	16.11	9.02	22.1	24.77	17.73	7.06	16.24	8.96	28.27	14.2	16.78	15.42	20.18	16.8	20.46	42.57	11.84	12.44	6.31	11.25	18.65	11.31	49.65	13.54	8.26	19.77	10.22	21.46	43.44	18.95	20.8	630.51	54.66	5.72	21.84	18.24	23.16	14.39	50.47	163.66	28.05	16.24	6.52	17.27	9.31	13.99	13.39	16.33	17.56	13.26	21.47	24.66	13.88	9.59	19.36	13.85	61.84	28.87	44.35	19.92	16.84	26.63	88.23	22.13	13.17	27.4	23.49	12.6	13.91	27.44	38.98	22.81	60.34	31.92	15.09	11.47	22.1	17.46	25.13	17.46	14.62	11.37	14.66	14.56	15.13	25.26	17.01	10.27	33.91	82.61	20.52	39.62	33.09	38.02	21.02	24.38	21.88	67.72	17.59	27.81	27.15	34.85	14.69	18.15	41.93	45.75	27.76	19.53	40.98	25.14	19.46	26.54	48.07	41.47	16.13	16.71	56.56	49.9	54.98	33.45	42.61	57.37
kcne1L	22.93	26.53	32.47	34.01	30.08	37.13	30.35	20.07	25.43	33.37	37.18	7.02	77.08	76.66	19.85	8.61	8.89	8.61	8.89	13.66	28.07	20.03	11.28	29.93	9.92	8.15	17.79	17.84	38.23	33.13	14.02	17.12	5.54	22.77	4.3	13.2	28.39	6.66	7.14	11.58	48.6	26.56	11.21	27.82	18.3	15.89	15.68	48.05	10.61	8.36	24.67	17.56	16.11	7.8	18.42	13.34	9.15	7.06	24.36	16.13	14.13	23.66	20.97	28.28	20.18	7.2	20.46	42.57	31.57	6.22	6.31	7.5	28.82	16.15	148.95	13.54	14.16	15.81	20.44	11.66	6.21	11.37	20.8	1891.53	38.26	17.17	21.84	18.24	46.32	7.46	50.47	163.66	28.05	24.37	13.04	2.88	12.41	6.36	13.39	5.44	6.95	5.47	3.58	3.89	13.88	9.59	6.45	6.16	30.92	22.46	7.96	5.38	5.05	7.61	44.11	8.85	36.22	3.43	5.87	10.08	11.38	9.15	10.11	28.51	25.86	4.26	2.52	5.43	16.58	1	4.71	7.83	1.57	5.17	3.66	18.2	3.78	8.04	3.09	11.48	10.94	16.52	3.16	1.37	9.93	7.13	13.71	9.38	8.1	6.16	35.17	13.9	10.18	6.97	10.5	5.78	5.9	1.09	4.38	3.98	1.86	3.59	10.88	8.34	2.19	4.15	8.33	7.23	1	3.4	8.05	10.91	7.58	1.79
Kcnma1	12.97	11.79	15.49	14.1	11.73	14.92	10.24	2.51	35.6	33.37	61.96	3.05	5.93	15.33	19.85	10.34	8.89	10.34	8.89	7.91	10.53	8.58	26.33	25.66	3.31	11.29	26.69	35.68	6.37	8.28	10.51	20.55	22.16	22.77	13.98	39.01	85.18	17.89	14.73	30.12	48.6	23.24	14.95	32.46	45.54	26.48	6.27	56.06	42.43	31.36	30.16	17.56	44.3	11.7	81.04	47.64	37.74	5.3	8.12	23.29	23.56	9.46	20.97	7.71	20.18	26.4	12.28	42.57	27.63	15.4	44.15	45.01	10.17	16.15	148.95	32.88	9.44	15.81	61.33	24.26	24.82	3.79	26	630.51	5.47	5.72	43.67	36.49	34.74	25.05	100.93	163.66	9.35	32.49	13.04	17.27	3.1	1.27	26.77	21.77	3.29	5.97	19.09	19.47	9.25	4.8	24.19	15.9	41.22	22.46	26.16	12.38	3.37	13.95	88.23	6.64	16.46	7.99	17.61	6.3	6.32	19.31	5.77	11.4	25.86	12.77	6.29	2.72	11.05	3.88	6.28	4.82	2.61	9.3	8.06	7.28	1.89	14.93	9.28	2.42	19.69	8.26	3.95	12.3	6.62	5.94	22.85	21.56	5.67	6.16	14.07	1.39	10.18	6.97	4.2	3.3	9.83	6.54	4.87	5.06	10.25	6.29	1.72	1.52	4.37	4.15	3.64	1	6.65	4.54	9.39	11.63	12.31	3.59
KLra4	1	1.12	1.87	1	1	1	1	2.51	10.17	33.37	24.79	1.83	17.79	15.33	14.88	2.41	6.67	2.41	6.67	2.16	7.02	2.86	2.51	4.28	9.92	2.51	4.45	5.1	25.49	8.28	3.5	10.27	22.16	5.69	1	1.8	28.39	1.75	1.34	4.63	6.07	13.28	4.98	4.64	1	21.19	6.27	16.02	2.12	2.09	2.74	4.39	8.05	1.22	7.37	9.53	1	5.3	16.24	1.79	18.85	14.2	12.58	5.14	20.18	2.4	4.09	42.57	3.95	1.04	12.61	3.75	1.7	6.46	99.3	1.93	3.54	3.95	10.22	2.8	6.21	3.79	5.2	630.51	5.47	22.9	21.84	18.24	46.32	5.33	50.47	163.66	9.35	8.12	6.52	5.76	3.1	3.82	4.46	5.44	1.1	1.99	7.16	2.6	6.94	28.77	1	2.05	10.31	3.21	3.41	2.69	1.68	3.8	44.11	2.21	13.17	3.43	1.96	3.78	2.53	6.1	4.33	28.51	17.24	6.38	1.26	2.41	11.05	6.79	3.93	1	5.22	3.1	4.4	21.83	1.89	5.74	1.55	2.42	4.38	8.26	5.52	5.47	3.31	3.56	3.66	2.81	4.05	12.31	17.59	6.95	3.39	3.49	3.67	2.48	2.62	1.09	2.92	1.81	7.45	5.39	2.86	4.55	4.37	1.66	2.6	3.16	4.16	3.4	4.02	7.27	9.47	3.59
KRT18	561.67	619.9	474.67	456.53	244.99	260.89	208.07	158.07	310.25	901.06	954.23	208.64	160.1	904.64	982.39	186.39	182.3	186.39	182.3	145.25	150.88	97.29	293.35	273.66	112.42	104.76	299.48	226.83	152.93	165.65	136.68	243.16	282.59	79.69	71.69	211.28	326.52	81.9	72.08	243.28	173.12	83	59.81	185.47	176.19	52.97	62.7	168.19	178.2	94.09	79.5	171.23	128.87	53.89	224.71	249.61	253.89	60.03	56.84	134.39	174.32	70.98	88.09	118.24	121.11	158.42	147.34	42.57	106.56	65.43	239.67	183.79	120.37	56.53	446.84	158.6	60.16	83.02	122.65	125.97	68.26	102.34	88.4	630.51	38.26	80.13	152.85	72.97	57.9	98.58	151.4	163.66	93.5	81.22	143.45	100.77	83.76	62.34	142.78	108.86	52.86	51.21	128.83	167.44	53.19	91.11	113.72	114.91	30.92	41.7	110.31	145.36	71.29	125.55	176.45	75.26	49.39	145	205.5	65.5	56.9	96.53	108.28	85.53	120.68	106.4	111.95	47.08	77.36	97.98	107.6	52.39	61.07	118.84	131.93	87.34	68.09	259.48	162.4	100.89	168.45	181.75	81.29	113.4	95.96	156.85	95.97	116.26	153.14	172.37	105.52	63.96	179.88	146.39	71.37	82.5	155.95	262.5	98.36	55.69	163	153.56	66.4	81.14	211.96	181.66	66.62	44.72	167.19	155.36	197.11	165.78	171.4	220.52
KRT5	89.73	53.47	44.41	53.09	16.2	1.87	11.29	5.02	10.17	66.75	12.39	14.34	29.65	76.66	9.92	2.41	4.45	2.41	4.45	2.88	7.02	2.86	8.78	12.83	3.31	5.02	5.93	2.55	6.37	8.28	3.5	6.85	22.16	5.69	2.51	4.2	28.39	5.61	3.35	2.32	9.11	6.64	1.25	9.27	3.4	10.59	3.14	40.05	10.61	2.09	5.48	13.17	20.14	1.46	22.1	1.91	6.86	1.77	8.12	10.75	4.71	4.73	8.39	5.14	13.46	4.8	4.09	42.57	3.95	4.15	6.31	11.25	5.09	9.69	49.65	5.8	3.54	3.95	30.66	7	6.21	3.79	15.6	630.51	76.52	5.72	21.84	18.24	11.58	4.26	50.47	163.66	9.35	8.12	6.52	8.64	3.1	3.82	4.46	5.44	2.56	1.66	5.96	14.28	9.25	4.8	4.03	4.1	10.31	3.21	5.69	4.85	3.37	1.27	44.11	2.21	6.59	5.71	7.83	2.52	5.06	4.06	2.89	17.11	8.62	14.9	2.52	5.13	5.53	7.76	4.71	4.82	2.61	4.13	3.66	3.64	1.89	10.33	4.64	4.23	9.84	33.05	2.37	6.83	3.31	4.75	8.23	7.5	5.67	6.16	3.52	1.39	6.79	1.74	5.77	8.25	3.28	4.36	4.87	1.45	4.66	4.49	2.29	3.79	4.37	6.64	2.6	3.16	1	3.4	5.36	5.09	3.79	5.38
LFNG (Lunatic Fringe) (PMID 19897741)	97.26	99.36	104.11	118.76	116.48	186.18	143.48	65.24	71.21	166.86	210.67	75.04	94.87	138	109.15	86.13	51.13	86.13	51.13	58.24	84.21	42.92	114.08	128.28	85.96	57.71	158.64	183.5	50.98	66.26	84.11	143.84	149.6	39.84	73.85	147.65	156.16	89.62	72.75	178.4	94.15	116.19	88.46	178.52	287.69	42.38	100.33	112.13	173.95	81.54	87.72	162.45	128.87	89.01	106.83	173.39	200.71	65.32	73.08	163.06	179.03	137.23	113.26	89.97	154.75	182.43	233.28	85.14	86.83	118.43	195.52	168.78	98.33	109.83	595.79	326.86	116.78	59.3	163.53	299.53	43.44	83.39	187.21	1891.53	38.26	74.41	174.68	54.73	46.32	346.9	454.2	163.66	84.15	56.86	299.93	285.02	49.64	66.15	174.01	201.39	65.84	78.23	192.05	237.54	97.13	95.9	300.82	323.69	41.22	80.2	210.39	337.56	106.66	232.08	132.34	79.68	128.42	267.17	201.58	98.25	112.53	247.93	252.64	79.83	137.92	248.99	338.36	118	138.14	318.19	346.35	86.11	93.96	212.89	277.78	109.17	92.68	332.96	365.02	189.09	292.06	223.05	107.33	435.85	284.56	351.72	142.59	145.33	320.05	831.08	87.93	76.48	210.43	275.35	146.42	132.83	317.13	263.59	108.59	118.25	326	367.28	85.87	93.28	203.22	201.56	93.16	97.57	319.41	294.83	193.09	306.85	312.5	206.17
LOX	1595.86	2126.63	2734.97	2663.25	2821.29	2749.91	2139.99	868.16	818.86	3404	2652.02	1198.75	610.75	3204.58	2689.18	943	686.97	943	686.97	609.05	824.58	417.76	1296.26	1269.96	456.27	347.52	1346.2	1159.63	477.92	472.11	424.06	1287.7	1047.23	404.13	330.15	930.93	667.23	349.52	378.93	618.62	683.38	292.15	249.19	646.84	729.44	238.36	169.3	600.69	625.81	294.81	252.21	597.1	640.34	194.59	740.45	794.56	437.45	252.46	207.07	541.16	508.83	208.21	201.36	239.05	558.43	631.29	548.42	510.83	276.26	197.93	857.76	825.16	272.96	182.51	248.24	698.21	292.55	245.12	807.45	776.35	335.08	405.57	696.83	630.51	213.16	309.08	1004.43	912.15	243.16	834.49	908.4	163.66	243.11	268.03	1056.29	1085.39	192.35	263.34	1115.45	947.09	275.08	273.14	1109.38	1205.85	296.03	330.87	914.56	971.06	154.59	272.67	741.49	881.85	322.22	896.61	529.36	398.42	418.18	962.51	1260.38	298.53	376.79	967.35	957.16	484.66	387.9	698.02	833.95	256.83	204.44	744.06	669.14	267.37	297.02	1057.2	1053.21	331.16	262.91	576.36	631.04	250.72	950.56	768.3	265.97	483.67	463.24	566.79	240.39	252.22	785.14	1071.17	172.35	225.26	451.4	517.59	213.07	212.85	417.38	421.53	136.83	135.61	427.52	381.65	143.11	171.39	820.51	815.38	130.12	133.7	248.7	235.87	1200.08	349.75	397.73	1319.51
LRAT	3.82	3.37	5.04	7.19	4.47	5.06	5.21	15.05	40.69	133.49	37.18	7.63	35.58	61.33	29.77	8.27	15.56	8.27	15.56	8.63	17.54	14.31	6.27	25.66	9.92	6.9	17.79	20.39	19.12	8.28	3.5	13.7	11.08	62.61	5.38	4.2	42.59	5.96	4.91	11.58	42.52	36.52	7.48	6.96	11.07	21.19	9.41	40.05	27.58	16.73	13.71	30.73	16.11	6.1	14.74	7.62	7.43	15.89	8.12	12.54	18.85	28.39	4.19	25.7	26.91	19.2	16.37	42.57	11.84	8.14	6.31	11.25	16.95	12.92	99.3	17.41	10.62	3.95	30.66	17.26	31.03	15.16	31.2	1891.53	27.33	28.62	43.67	54.73	92.63	21.32	302.8	163.66	18.7	32.49	32.6	8.64	21.72	15.27	35.69	16.33	9.51	10.11	27.44	42.83	13.88	4.8	30.65	35.91	20.61	22.46	22.75	40.38	11.79	38.05	220.57	8.85	36.22	25.12	29.36	23.93	32.87	71.13	50.53	51.32	77.58	72.36	51.57	26.56	44.2	83.43	98.96	24.69	19.84	69.24	93.08	65.5	34.05	146.96	72.69	29.6	42.66	57.83	41.04	109.3	112.5	89.12	31.08	32.82	28.36	123.12	218.08	253.06	271.52	245.73	59.83	66	108.77	154.67	81.32	94.02	238.44	263.12	43.51	37.92	55.72	42.3	28.11	32.97	132.25	140.61	53.63	115.61	136.36	48.41
Lrp2	6.48	2.67	5.6	6.22	14.5	5.33	11.47	25.09	30.52	233.61	272.64	22.57	47.44	321.99	84.35	34.11	22.23	34.11	22.23	32.36	35.09	60.09	115.33	183.87	33.06	49.56	114.16	119.79	70.09	49.7	45.56	102.74	132.98	39.84	21.51	47.42	198.75	40.51	37.04	85.73	106.3	6.64	29.9	53.32	41.71	26.48	34.49	144.16	110.31	43.91	32.9	162.45	104.71	33.9	114.2	116.23	92.07	31.78	36.54	96.76	84.8	66.25	54.53	28.28	127.83	74.41	45.02	212.84	63.15	46.93	107.22	105.02	52.56	38.76	248.24	98.64	31.85	51.4	112.43	134.37	31.03	18.95	166.41	5674.59	65.59	40.07	131.01	164.19	11.58	103.38	252.33	654.66	46.75	81.22	136.93	158.35	65.15	30.53	129.39	119.75	56.15	60.16	110.94	93.46	48.57	47.95	111.3	122.6	51.53	70.57	127.37	106.6	49.4	131.89	573.48	24.35	46.1	119.89	103.73	52.9	70.81	132.1	116.94	96.93	86.2	131.94	125.78	66.4	104.98	50.45	81.68	84.31	73.6	116.78	118	83.7	73.77	119.41	95.89	146.2	126.89	313.93	78.92	168.05	135.66	224.58	108.77	105.95	88.32	166.22	133.66	125.14	200.24	172.53	117.03	122.93	135.63	151.4	112.97	113.55	195.6	209.24	95.03	116.79	335.41	322.67	120.23	90.34	170.52	147.42	171.63	249.4	245.27	157.77
MCPt4	4.28	5.33	3.73	4.56	4.94	3.46	2.29	15.05	15.26	16.69	24.79	2.44	17.79	15.33	19.85	3.45	13.34	3.45	13.34	4.31	3.51	14.31	6.27	4.28	3.31	3.76	10.38	17.84	12.74	16.57	7.01	10.27	11.08	5.69	3.58	8.4	28.39	4.91	4.69	32.44	30.37	6.64	3.74	13.91	28.09	21.19	6.27	32.04	4.24	4.18	16.45	17.56	12.08	2.68	36.84	32.39	20.01	3.53	4.06	10.75	18.85	4.73	12.58	2.57	13.46	16.8	28.65	42.57	7.89	5.03	31.54	37.51	8.48	4.85	99.3	9.67	10.62	3.95	10.22	12.13	6.21	3.79	5.2	1261.02	5.47	17.17	21.84	18.24	11.58	5.33	100.93	163.66	9.35	8.12	6.52	28.79	6.2	1.27	8.92	5.44	1.1	2.49	7.16	2.6	4.63	23.98	6.45	5.64	10.31	3.21	17.06	5.92	1.12	3.8	44.11	4.43	6.59	6.85	3.91	3.78	6.32	8.13	2.89	11.4	8.62	4.26	5.03	2.41	11.05	3.88	2.36	1.2	2.09	3.1	5.86	14.56	1.89	9.19	3.09	2.42	5.47	33.05	3.95	2.73	6.62	1.19	3.66	5.63	5.67	6.16	14.07	1.39	3.39	1.74	2.1	1	2.62	2.18	1.46	1	7.45	3.59	3.43	1.52	6.56	5.81	2.6	1.81	4.16	3.4	13.41	2.18	4.73	1.79
MGAT4A	32.19	35.65	35.26	35.12	29.16	29.93	24.88	32.62	35.6	50.06	61.96	18.3	59.3	30.67	54.58	18.95	20.01	18.95	20.01	20.85	35.09	28.61	22.57	38.48	16.53	15.68	37.06	33.13	19.12	33.13	17.52	10.27	49.87	28.46	7.89	15.61	70.98	10	11.16	25.49	18.22	23.24	9.97	27.82	21.7	47.67	15.68	88.1	27.58	14.64	10.97	17.56	24.16	13.41	29.47	15.24	34.88	14.12	20.3	12.54	28.27	33.12	20.97	28.28	13.46	21.6	20.46	85.14	11.84	9.92	50.46	30.01	16.95	16.15	99.3	15.47	11.8	7.91	30.66	20.99	18.62	22.74	26	1891.53	32.79	22.9	21.84	36.49	81.05	22.91	50.47	163.66	9.35	24.37	19.56	28.79	12.41	8.91	13.39	21.77	10.43	9.61	34.59	29.85	23.13	19.18	17.74	24.62	10.31	9.62	34.12	25.84	11.23	22.83	44.11	24.35	26.34	25.12	23.49	15.12	11.38	22.35	24.54	34.21	8.62	27.67	21.38	12.98	27.63	18.43	18.85	19.27	10.44	14.47	18.32	43.67	28.37	40.18	20.11	21.14	24.06	41.31	15.78	17.76	19.85	34.46	23.76	33.75	21.88	24.62	35.17	15.3	20.36	27.88	18.89	18.98	22.93	34.85	11.69	11.21	21.42	27.84	14.88	23.51	21.85	20.74	9.89	10.39	29.11	18.14	24.14	27.63	36.93	19.72
MMP-3	4.4	7.58	4.85	5.25	2.62	4.89	3	15.05	30.52	50.06	12.39	4.58	71.16	46	34.73	11.71	11.12	11.71	11.12	12.94	7.02	11.45	17.55	8.55	13.23	5.65	8.9	10.19	12.74	16.57	3.5	10.27	5.54	28.46	2.15	4.2	14.2	5.79	3.79	11.58	18.22	16.6	3.74	16.23	11.92	5.3	6.27	32.04	8.49	6.27	2.74	17.56	20.14	2.68	11.05	3.81	8.58	1.77	8.12	26.88	37.69	14.2	16.78	12.85	6.73	9.6	12.28	42.57	15.79	9.03	12.61	7.5	13.56	14.54	198.6	29.01	1.18	3.95	20.44	20.99	12.41	3.79	10.4	630.51	5.47	28.62	21.84	18.24	23.16	12.26	50.47	163.66	18.7	24.37	6.52	23.03	3.1	6.36	22.31	10.89	5.85	7.29	31.01	37.64	11.56	4.8	16.13	31.29	30.92	6.42	20.47	55.45	14.6	53.26	176.45	11.07	13.17	22.84	60.67	10.08	8.85	38.61	46.2	17.11	60.34	23.41	31.45	11.17	11.05	40.74	42.41	9.63	10.44	34.1	31.52	7.28	11.35	105.63	58.77	9.06	51.41	49.57	10.26	20.49	33.09	23.76	7.31	7.5	28.36	49.25	7.03	18.08	20.36	40.08	14.17	23.1	43.9	99.12	12.17	7.96	36.33	15.27	16.6	13.65	71.02	53.92	16.13	6.32	35.77	24.95	45.59	34.9	32.2	66.33
MMP7	1	1	1.49	1.24	1	1.69	1	5.02	10.17	16.69	37.18	5.8	23.72	15.33	4.96	3.79	4.45	3.79	4.45	7.19	3.51	2.86	2.51	4.28	3.31	1.25	1.48	7.65	6.37	8.28	14.02	10.27	5.54	5.69	1	3.6	28.39	2.81	1.79	4.63	12.15	6.64	1.25	6.96	2.55	10.59	9.41	8.01	8.49	4.18	2.74	13.17	28.19	1.22	11.05	7.62	3.43	3.53	4.06	12.54	9.42	4.73	8.39	5.14	13.46	2.4	4.09	42.57	15.79	4.89	6.31	7.5	1.7	4.85	49.65	5.8	1.18	3.95	10.22	4.2	6.21	7.58	5.2	630.51	5.47	5.72	21.84	18.24	11.58	6.93	50.47	163.66	18.7	8.12	13.04	2.88	3.1	1.27	4.46	10.89	2.74	2.98	5.96	10.38	6.94	4.8	4.84	4.1	10.31	3.21	7.96	4.31	3.37	2.54	44.11	2.21	3.29	4.57	5.87	8.82	5.06	5.08	4.33	5.7	8.62	10.64	3.77	4.23	5.53	3.88	3.93	2.41	1.04	3.1	3.66	3.64	1.89	1.15	7.73	3.62	8.75	8.26	2.37	8.2	3.31	3.56	2.74	4.69	4.86	6.16	7.03	4.17	10.18	10.46	2.1	1.65	5.24	10.89	4.38	1.81	4.66	1.8	2.29	1.52	6.56	5.81	3.12	4.52	2.5	9.07	6.7	4.36	6.63	3.59
MUC5Ab	4.05	8.56	54.67	29.03	13.42	4.26	1.76	25.09	30.52	50.06	173.5	37.21	41.51	107.33	59.54	17.23	8.89	17.23	8.89	15.82	126.32	11.45	51.4	38.48	13.23	5.65	23.72	30.58	286.75	430.7	24.53	58.22	44.33	17.08	3.23	4.2	70.98	214.48	192.14	13.9	33.41	9.96	23.67	81.14	38.73	5.3	3.14	64.07	10.61	23	24.67	17.56	4.03	4.15	55.26	17.15	10.29	5.3	8.12	23.29	18.85	4.73	16.78	12.85	6.73	19.2	24.56	42.57	15.79	7.25	239.67	206.29	16.95	11.31	148.95	67.69	4.72	7.91	40.88	21.93	6.21	11.37	26	630.51	16.4	28.62	174.68	145.94	23.16	10.66	50.47	163.66	9.35	8.12	6.52	20.15	3.1	2.54	17.85	10.89	4.76	5.8	17.89	7.79	4.63	4.8	13.71	10.77	10.31	9.62	9.1	21.53	17.96	7.61	44.11	2.21	3.29	13.7	334.67	3.78	15.17	20.32	10.11	5.7	25.86	19.15	3.77	7.24	11.05	23.28	21.99	6.02	4.7	11.37	10.99	10.92	9.46	261.77	6.19	15.1	29.53	346.97	5.52	12.3	13.24	10.69	11.88	8.44	34.03	12.31	10.55	5.56	13.58	15.68	7.87	3.3	13.1	39.21	13.63	2.17	17.7	17.06	6.3	4.55	18.57	14.93	10.41	2.26	12.48	22.68	22.79	21.81	12.31	21.51
MUC5Ac	4.86	8.7	18.47	13.13	9.1	6.22	6	2.51	5.09	83.43	99.14	6.41	11.86	46	19.85	8.27	6.67	8.27	6.67	6.47	21.05	8.58	16.3	8.55	3.31	3.14	10.38	12.74	6.37	8.28	3.5	10.27	16.62	5.69	1.43	6	14.2	18.24	14.28	4.63	21.26	3.32	1.25	9.27	8.94	10.59	3.14	8.01	4.24	10.45	2.74	13.17	8.05	4.15	3.68	7.62	3.43	1.77	8.12	14.34	28.27	9.46	4.19	5.14	13.46	2.4	4.09	42.57	3.95	5.63	31.54	33.76	6.78	4.85	49.65	9.67	3.54	3.95	10.22	11.66	12.41	3.79	5.2	630.51	5.47	5.72	43.67	72.97	23.16	7.99	50.47	163.66	9.35	24.37	6.52	11.52	3.1	3.82	8.92	10.89	3.29	3.31	14.31	2.6	13.88	4.8	10.48	10.77	10.31	6.42	5.69	8.08	4.49	15.22	44.11	11.07	6.59	10.28	35.23	1.26	6.32	10.16	8.66	5.7	8.62	8.51	5.03	7.54	5.53	6.79	9.42	3.01	1.04	9.3	8.06	3.64	9.46	16.07	6.19	7.25	14.22	16.52	7.1	10.93	6.62	4.75	2.74	4.69	10.53	6.16	3.52	4.17	10.18	5.23	2.62	2.48	5.9	10.89	2.43	1.81	10.25	10.78	2.29	3.79	10.93	12.44	4.16	2.26	8.32	4.54	10.73	5.82	8.52	7.17
